Code,Contract ,Date,Open,High,Low,Close,Turnover,Volume,Positions
J.DCE,Coke,9:00:00,2139,2139,2133,2135.5,1146.69,5370,271316
J.DCE,Coke,9:01:00,2135.5,2138,2134.5,2137.5,543,2542,270390
J.DCE,Coke,9:02:00,2138,2138,2136,2136.5,291.02,1362,270440
J.DCE,Coke,9:03:00,2136.5,2139,2136,2137,345.03,1614,269956
J.DCE,Coke,9:04:00,2137,2137,2132,2134.5,688.47,3226,269480
J.DCE,Coke,9:05:00,2135,2136.5,2134,2134.5,265.2,1242,269118
J.DCE,Coke,9:06:00,2135,2135,2133,2133.5,334.18,1566,268940
J.DCE,Coke,9:07:00,2134,2135,2133.5,2135,268.51,1258,268766
J.DCE,Coke,9:08:00,2135,2135,2131,2131,617.5,2896,268426
J.DCE,Coke,9:09:00,2131.5,2131.5,2129.5,2131,737.09,3460,267642
J.DCE,Coke,9:10:00,2130.5,2131,2121,2123,2969.02,13976,262886
J.DCE,Coke,9:11:00,2123,2124,2117,2117.5,2253.39,10628,260782
J.DCE,Coke,9:12:00,2117.5,2117.5,2111.5,2117,2157.82,10202,259940
J.DCE,Coke,9:13:00,2117,2120,2116,2119,1179.89,5570,258918
J.DCE,Coke,9:14:00,2119.5,2122,2118.5,2120,781.54,3686,258374
J.DCE,Coke,9:15:00,2120.5,2121,2119,2120.5,643.23,3034,258718
J.DCE,Coke,9:16:00,2121,2121,2118.5,2119.5,364.57,1720,258898
J.DCE,Coke,9:17:00,2119,2120,2118,2118.5,358.59,1692,258658
J.DCE,Coke,9:18:00,2118.5,2120.5,2118,2120,218.3,1030,258542
J.DCE,Coke,9:19:00,2119.5,2119.5,2118,2118,175.02,826,258410
J.DCE,Coke,9:20:00,2118,2119.5,2117,2118.5,377.09,1780,258222
J.DCE,Coke,9:21:00,2119,2121.5,2118.5,2121.5,342.19,1614,258264
J.DCE,Coke,9:22:00,2121.5,2123,2120,2122,343.3,1618,258176
J.DCE,Coke,9:23:00,2121.5,2124,2121,2123,346.82,1634,257640
J.DCE,Coke,9:24:00,2123,2124.5,2122.5,2123.5,270.11,1272,257470
J.DCE,Coke,9:25:00,2123,2124,2122.5,2123.5,166.46,784,257530
J.DCE,Coke,9:26:00,2123.5,2124.5,2123,2124.5,173.32,816,257404
J.DCE,Coke,9:27:00,2124,2126,2124,2125,377.8,1778,257172
J.DCE,Coke,9:28:00,2125,2126,2124,2125,257.99,1214,257378
J.DCE,Coke,9:29:00,2125.5,2125.5,2124,2125,288.98,1360,257356
J.DCE,Coke,9:30:00,2125,2125.5,2124.5,2125,176.81,832,257458
J.DCE,Coke,9:31:00,2125.5,2126,2125,2126,180.68,850,257432
J.DCE,Coke,9:32:00,2126,2126.5,2125.5,2125.5,237.66,1118,257630
J.DCE,Coke,9:33:00,2126,2126,2125,2125,141.56,666,257800
J.DCE,Coke,9:34:00,2125.5,2126,2125,2125.5,145.8,686,257726
J.DCE,Coke,9:35:00,2126,2128.5,2125.5,2128.5,425.01,1998,257446
J.DCE,Coke,9:36:00,2129,2131,2128,2129,767.59,3604,257232
J.DCE,Coke,9:37:00,2129,2130.5,2129,2130,341.64,1604,257504
J.DCE,Coke,9:38:00,2130,2130.5,2128,2128,301.08,1414,257496
J.DCE,Coke,9:39:00,2128,2129,2127,2128,251.11,1180,257504
J.DCE,Coke,9:40:00,2128,2128.5,2126.5,2126.5,195.27,918,257444
J.DCE,Coke,9:41:00,2126.5,2128.5,2126.5,2128,141.68,666,257526
J.DCE,Coke,9:42:00,2128,2130.5,2127.5,2127.5,362.83,1704,257588
J.DCE,Coke,9:43:00,2127.5,2127.5,2125,2126,241.54,1136,257640
J.DCE,Coke,9:44:00,2126,2127,2126,2127,156.94,738,257598
J.DCE,Coke,9:45:00,2126,2127,2125.5,2126,206.22,970,257610
J.DCE,Coke,9:46:00,2125.5,2126,2124.5,2125,177.67,836,257414
J.DCE,Coke,9:47:00,2125,2126,2124.5,2124.5,129.2,608,257480
J.DCE,Coke,9:48:00,2125,2125.5,2124,2125,127.91,602,257516
J.DCE,Coke,9:49:00,2125,2125.5,2124,2124.5,64.17,302,257594
J.DCE,Coke,9:50:00,2124.5,2125.5,2124,2125,84.56,398,257542
J.DCE,Coke,9:51:00,2125,2125.5,2124.5,2124.5,96.47,454,257606
J.DCE,Coke,9:52:00,2125,2125,2124.5,2125,44.2,208,257672
J.DCE,Coke,9:53:00,2125,2125.5,2124.5,2125,58.22,274,257660
J.DCE,Coke,9:54:00,2125,2125,2123.5,2124.5,259.56,1222,258268
J.DCE,Coke,9:55:00,2124,2124.5,2123,2124,238.28,1122,258468
J.DCE,Coke,9:56:00,2124.5,2124.5,2123.5,2124,179.68,846,259016
J.DCE,Coke,9:57:00,2124,2124.5,2122.5,2123,407.73,1920,260196
J.DCE,Coke,9:58:00,2123,2123,2121,2122,392.14,1848,260270
J.DCE,Coke,9:59:00,2121.5,2122,2120.5,2120.5,138.75,654,260186
J.DCE,Coke,10:00:00,2120.5,2120.5,2118.5,2120,483.29,2280,260630
J.DCE,Coke,10:01:00,2120,2122.5,2119.5,2122.5,243.52,1148,260798
J.DCE,Coke,10:02:00,2122.5,2125,2122,2125,211.08,994,261052
J.DCE,Coke,10:03:00,2125,2125.5,2124,2125,114.74,540,261188
J.DCE,Coke,10:04:00,2124.5,2125,2124,2124.5,100.71,474,261258
J.DCE,Coke,10:05:00,2124.5,2126,2122.5,2126,186.1,876,261546
J.DCE,Coke,10:06:00,2125.5,2125.5,2124.5,2125.5,74.81,352,261554
J.DCE,Coke,10:07:00,2125,2126,2125,2126,82.05,386,261568
J.DCE,Coke,10:08:00,2126,2126,2123.5,2123.5,67.56,318,261660
J.DCE,Coke,10:09:00,2124,2124.5,2123,2123.5,48.43,228,261720
J.DCE,Coke,10:10:00,2123.5,2123.5,2122,2122,106.56,502,261764
J.DCE,Coke,10:11:00,2122.5,2123,2122,2122.5,51.37,242,261860
J.DCE,Coke,10:12:00,2122.5,2123.5,2122,2123.5,48.4,228,261948
J.DCE,Coke,10:13:00,2123,2124,2122.5,2123.5,84.5,398,262116
J.DCE,Coke,10:14:00,2123.5,2125.5,2123,2125,114.28,538,262302
J.DCE,Coke,10:30:00,2125,2125,2123,2123.5,141.46,666,262382
J.DCE,Coke,10:31:00,2123,2124.5,2123,2124.5,81.13,382,262482
J.DCE,Coke,10:32:00,2123.5,2124.5,2123.5,2124.5,37.38,176,262500
J.DCE,Coke,10:33:00,2124.5,2124.5,2123,2123.5,66.69,314,262580
J.DCE,Coke,10:34:00,2123.5,2123.5,2122,2122,52.22,246,262620
J.DCE,Coke,10:35:00,2122,2123,2122,2122.5,98.9,466,262702
J.DCE,Coke,10:36:00,2122.5,2123.5,2121.5,2123,49.67,234,262716
J.DCE,Coke,10:37:00,2123,2123.5,2122.5,2123.5,48.83,230,262770
J.DCE,Coke,10:38:00,2123.5,2128,2123.5,2125,232.16,1092,262954
J.DCE,Coke,10:39:00,2125.5,2128.5,2125.5,2128.5,145.93,686,262888
J.DCE,Coke,10:40:00,2128.5,2129,2126,2127,157.42,740,262884
J.DCE,Coke,10:41:00,2127.5,2127.5,2125.5,2126.5,212.62,1000,262812
J.DCE,Coke,10:42:00,2126.5,2128,2126.5,2127,90.2,424,262876
J.DCE,Coke,10:43:00,2127.5,2127.5,2126.5,2127.5,56.15,264,262948
J.DCE,Coke,10:44:00,2127,2128,2126.5,2127,61.27,288,262988
J.DCE,Coke,10:45:00,2127,2127,2124,2124,99.9,470,263060
J.DCE,Coke,10:46:00,2124.5,2124.5,2122.5,2124,127,598,263076
J.DCE,Coke,10:47:00,2124,2124.5,2122,2122.5,60.3,284,263172
J.DCE,Coke,10:48:00,2122.5,2123.5,2122.5,2123.5,58.59,276,263232
J.DCE,Coke,10:49:00,2123.5,2125.5,2123.5,2124.5,80.31,378,263346
J.DCE,Coke,10:50:00,2125,2127,2124.5,2126,106.71,502,263572
J.DCE,Coke,10:51:00,2125.5,2126,2124,2124,110.06,518,263664
J.DCE,Coke,10:52:00,2124,2125.5,2123.5,2125,75.64,356,263710
J.DCE,Coke,10:53:00,2125,2126,2125,2125,104.15,490,263646
J.DCE,Coke,10:54:00,2125,2126.5,2124,2125.5,161.94,762,263600
J.DCE,Coke,10:55:00,2125.5,2127.5,2124,2127,117.32,552,263694
J.DCE,Coke,10:56:00,2127,2128,2126,2127,97.84,460,263810
J.DCE,Coke,10:57:00,2127,2128,2126,2128,89.76,422,263780
J.DCE,Coke,10:58:00,2127,2128,2127,2127.5,86.37,406,263736
J.DCE,Coke,10:59:00,2127,2127.5,2126,2126.5,91.88,432,263668
J.DCE,Coke,11:00:00,2127,2127.5,2126.5,2127,57,268,263726
J.DCE,Coke,11:01:00,2127.5,2131,2127,2127.5,589.84,2770,264480
J.DCE,Coke,11:02:00,2128.5,2129.5,2128,2129.5,109.83,516,264548
J.DCE,Coke,11:03:00,2130,2130.5,2127.5,2129,152.86,718,264770
J.DCE,Coke,11:04:00,2129,2130,2127.5,2128.5,149.03,700,264998
J.DCE,Coke,11:05:00,2128.5,2128.5,2126.5,2126.5,117.86,554,265064
J.DCE,Coke,11:06:00,2127.5,2129.5,2127,2128.5,102.99,484,265236
J.DCE,Coke,11:07:00,2128.5,2130,2127,2127.5,68.53,322,265376
J.DCE,Coke,11:08:00,2127,2129,2127,2128,62.98,296,265538
J.DCE,Coke,11:09:00,2128.5,2129,2127,2127.5,37.45,176,265644
J.DCE,Coke,11:10:00,2127.5,2130,2127.5,2129,93.24,438,265818
J.DCE,Coke,11:11:00,2128.5,2129.5,2127,2127,95.76,450,265976
J.DCE,Coke,11:12:00,2127,2128.5,2127,2128,52.34,246,266074
J.DCE,Coke,11:13:00,2127,2127.5,2126.5,2126.5,45.52,214,266182
J.DCE,Coke,11:14:00,2127,2129,2127,2128.5,77.05,362,266390
J.DCE,Coke,11:15:00,2128.5,2128.5,2125.5,2125.5,119.95,564,266710
J.DCE,Coke,11:16:00,2125.5,2126,2123.5,2125,294.06,1384,267392
J.DCE,Coke,11:17:00,2125,2125.5,2124.5,2125.5,61.63,290,267524
J.DCE,Coke,11:18:00,2125.5,2125.5,2124,2124.5,94.34,444,267768
J.DCE,Coke,11:19:00,2124.5,2124.5,2122.5,2123,163.5,770,268182
J.DCE,Coke,11:20:00,2123,2125,2123,2125,127.01,598,268410
J.DCE,Coke,11:21:00,2125,2125,2123,2124.5,76.46,360,268568
